code|mean|std|n_pos|total
122861|-1.0|-1.0|2|22
131698|-1.0|-1.0|1|11
257006|-1.0|-1.0|1|11
133629|-1.0|-1.0|1|11
139451|-1.0|-1.0|1|11
139642|-1.0|-1.0|1|11
139808|-1.0|-1.0|1|11
139816|-1.0|-1.0|1|11
139832|-1.0|-1.0|2|22
251488|-1.0|-1.0|2|22
138016|-1.0|-1.0|1|11
115659|-1.0|-1.0|1|11
115261|-1.0|-1.0|1|11
112771|-1.0|-1.0|3|33
10058|-1.0|-1.0|1|11
103317|-1.0|-1.0|1|11
103341|-1.0|-1.0|1|11
105015|-1.0|-1.0|2|22
107011|-1.0|-1.0|3|33
264663|-1.0|-1.0|1|11
108399|-1.0|-1.0|1|11
109926|-1.0|-1.0|1|11
110064|-1.0|-1.0|1|11
110130|-1.0|-1.0|2|22
110387|-1.0|-1.0|1|11
110510|-1.0|-1.0|1|11
110775|-1.0|-1.0|1|11
110908|-1.0|-1.0|1|11
112532|-1.0|-1.0|1|11
139899|-1.0|-1.0|1|11
25148|-1.0|-1.0|1|11
139907|-1.0|-1.0|1|11
139923|-1.0|-1.0|1|11
150672|-1.0|-1.0|1|11
150748|-1.0|-1.0|1|11
154120|-1.0|-1.0|1|11
154328|-1.0|-1.0|1|11
155465|-1.0|-1.0|1|11
156679|-1.0|-1.0|1|11
156935|-1.0|-1.0|1|11
157743|-1.0|-1.0|1|11
159756|-1.0|-1.0|1|11
160119|-1.0|-1.0|1|11
243311|-1.0|-1.0|2|22
241240|-1.0|-1.0|1|11
161265|-1.0|-1.0|1|11
161901|-1.0|-1.0|1|11
161927|-1.0|-1.0|1|11
150169|-1.0|-1.0|1|11
204073|-1.0|-1.0|1|11
24661|-1.0|-1.0|1|11
150136|-1.0|-1.0|2|22
139949|-1.0|-1.0|1|11
25056|-1.0|-1.0|3|33
139956|-1.0|-1.0|1|11
142364|-1.0|-1.0|1|11
142729|-1.0|-1.0|1|11
142778|-1.0|-1.0|3|33
142976|-1.0|-1.0|2|22
143081|-1.0|-1.0|1|11
143388|-1.0|-1.0|2|22
24695|-1.0|-1.0|1|11
146282|-1.0|-1.0|1|11
24687|-1.0|-1.0|3|33
148049|-1.0|-1.0|1|11
149591|-1.0|-1.0|2|22
24679|-1.0|-1.0|3|33
150144|-1.0|-1.0|2|22
204966|-1.0|-1.0|1|11
unknown|0.8686684742282622|0.007914364946600801|5593|61523
44982|0.9|0.2|6|66
18341|0.9|0.2|7|77
148692|0.9333333333333332|0.13333333333333336|6|66
7146|0.9333333333333333|0.13333333333333336|9|99
241133|0.9377777777777778|0.08122518614443139|18|198
31377|0.96|0.07999999999999999|13|143
20644|0.96|0.07999999999999999|8|88
326231|0.96|0.07999999999999999|12|132
204479|0.96|0.07999999999999999|12|132
305227|0.96|0.07999999999999999|13|143
28688|0.9714285714285715|0.05714285714285716|15|165
303768|0.9714285714285715|0.05714285714285716|21|231
265058|0.9714285714285715|0.05714285714285716|19|209
273532|0.9714285714285715|0.05714285714285716|15|165
473835|0.9777777777777779|0.04444444444444442|18|198
602797|0.9777777777777779|0.04444444444444442|20|220
28886|0.9777777777777779|0.04444444444444442|16|176
7880|0.9799498746867169|0.02460739390202221|46|506
81232|0.9846153846153847|0.030769230769230795|58|638
24653|0.9846153846153847|0.030769230769230795|30|330
539627|0.9866666666666667|0.02666666666666666|34|374
19638|0.9866666666666667|0.02666666666666666|82|902
108340|0.9868274582560297|0.01797236517745804|118|1298
